# Candidate,TrES-3b,,,,,
# Period,1.306186348,,,,,
# All data spans days,5936.616811,,,,,
# All data spans years,16.3,,,,,
Epoch,Midtime,Midtime_err_minus_days,Midtime_err_plus_days,Midtime_err_minus_sec,Midtime_err_plus_sec,Source
1456,2458325.215,0.00028,0.00028,24.19,24.19,TRESCA
1464,2458335.668,0.00044,0.00044,38.02,38.02,TRESCA
1486,2458364.401,0.00019,0.00019,16.42,16.42,TRESCA
1486,2458364.401,0.00042,0.00042,36.29,36.29,TRESCA
1499,2458381.379,0.00122,0.00122,105.41,105.41,TRESCA
1611,2458527.674,0.00029,0.00029,25.06,25.06,TRESCA
1615,2458533.474,0.0004,0.0004,34.56,34.56,2021AJ....162...18S
1640,2458565.554,0.00042,0.00042,36.29,36.29,TRESCA
1640,2458565.554,0.00039,0.00039,33.7,33.7,TRESCA
1653,2458582.536,0.00039,0.00039,33.7,33.7,TRESCA
1672,2458607.352,0.000405,0.000405,34.99,34.99,2021AJ....162...18S
1689,2458629.557,0.00035,0.00035,30.24,30.24,TRESCA
1692,2458633.476,0.00036,0.00036,31.1,31.1,TRESCA
1695,2458637.395,0.00038,0.00038,32.83,32.83,TRESCA
1703,2458647.843,0.00016,0.00016,13.82,13.82,TRESCA
1718,2458667.437,0.00042,0.00042,36.29,36.29,TRESCA
1731,2458684.416,0.00033,0.00033,28.51,28.51,TRESCA
1731,2458684.418,0.00034,0.00034,29.38,29.38,TRESCA
1744,2458701.397,0.00032,0.00032,27.65,27.65,TRESCA
1754,2458714.46,0.00039,0.00039,33.7,33.7,TRESCA
1770,2458735.358,0.00039,0.00039,33.7,33.7,TRESCA
1770,2458735.358,0.00039,0.00039,33.7,33.7,TRESCA
1771,2458736.663,0.00048,0.00048,41.47,41.47,TRESCA
1809,2458786.3,0.00039,0.00039,33.7,33.7,TRESCA
1892,2458894.713,0.00045,0.00045,38.88,38.88,TRESCA
1918,2458928.673,0.00032,0.00032,27.65,27.65,TRESCA
1927,2458940.426,0.000337,0.000337,29.12,29.12,2021AJ....162...18S
1931,2458945.654,0.00048,0.00048,41.47,41.47,TRESCA
1934,2458949.572,0.00027,0.00027,23.33,23.33,TRESCA
1934,2458949.573,0.00039,0.00039,33.7,33.7,TRESCA
1947,2458966.552,0.00028,0.00028,24.19,24.19,TRESCA
1961,2458984.839,0.0004428,0.0004428,38.26,38.26,Ivshina and Winn 2022
1962,2458986.146,0.0004684,0.0004684,40.47,40.47,Ivshina and Winn 2022
1963,2458987.452,0.0004541,0.0004541,39.23,39.23,Ivshina and Winn 2022
1964,2458988.758,0.0004626,0.0004626,39.97,39.97,Ivshina and Winn 2022
1965,2458990.065,0.0003636,0.0003636,31.42,31.42,Ivshina and Winn 2022
1966,2458991.37,0.0004279,0.0004279,36.97,36.97,Ivshina and Winn 2022
1967,2458992.677,0.0004133,0.0004133,35.71,35.71,Ivshina and Winn 2022
1968,2458993.983,0.0004168,0.0004168,36.01,36.01,Ivshina and Winn 2022
1969,2458995.289,0.0004172,0.0004172,36.05,36.05,Ivshina and Winn 2022
1971,2458997.902,0.0004317,0.0004317,37.3,37.3,Ivshina and Winn 2022
1972,2458999.207,0.0004687,0.0004687,40.5,40.5,Ivshina and Winn 2022
1973,2459000.514,0.0004774,0.0004774,41.25,41.25,Ivshina and Winn 2022
1974,2459001.819,0.0004413,0.0004413,38.13,38.13,Ivshina and Winn 2022
1975,2459003.126,0.0004824,0.0004824,41.68,41.68,Ivshina and Winn 2022
1976,2459004.432,0.0004202,0.0004202,36.31,36.31,Ivshina and Winn 2022
1977,2459005.738,0.0004674,0.0004674,40.38,40.38,Ivshina and Winn 2022
1978,2459007.045,0.0003875,0.0003875,33.48,33.48,Ivshina and Winn 2022
1979,2459008.351,0.0004267,0.0004267,36.87,36.87,Ivshina and Winn 2022
1981,2459010.964,0.0004527,0.0004527,39.11,39.11,Ivshina and Winn 2022
1982,2459012.27,0.0004023,0.0004023,34.76,34.76,Ivshina and Winn 2022
1983,2459013.577,0.0004258,0.0004258,36.79,36.79,Ivshina and Winn 2022
1984,2459014.882,0.0005492,0.0005492,47.45,47.45,Ivshina and Winn 2022
1985,2459016.188,0.0005536,0.0005536,47.83,47.83,Ivshina and Winn 2022
1986,2459017.494,0.0004524,0.0004524,39.09,39.09,Ivshina and Winn 2022
1987,2459018.8,0.0004645,0.0004645,40.13,40.13,Ivshina and Winn 2022
1988,2459020.108,0.0004668,0.0004668,40.33,40.33,Ivshina and Winn 2022
1989,2459021.413,0.000432,0.000432,37.32,37.32,Ivshina and Winn 2022
1991,2459024.025,0.0004121,0.0004121,35.61,35.61,Ivshina and Winn 2022
1992,2459025.332,0.0004467,0.0004467,38.59,38.59,Ivshina and Winn 2022
1993,2459026.637,0.000449,0.000449,38.79,38.79,Ivshina and Winn 2022
1994,2459027.944,0.0004762,0.0004762,41.14,41.14,Ivshina and Winn 2022
1995,2459029.25,0.0004264,0.0004264,36.84,36.84,Ivshina and Winn 2022
1996,2459030.556,0.0004153,0.0004153,35.88,35.88,Ivshina and Winn 2022
1997,2459031.862,0.0004656,0.0004656,40.23,40.23,Ivshina and Winn 2022
1998,2459033.168,0.0004745,0.0004745,41,41,Ivshina and Winn 2022
1999,2459034.475,0.0005082,0.0005082,43.91,43.91,Ivshina and Winn 2022
2002,2459038.393,0.00045,0.00045,38.88,38.88,TRESCA
2002,2459038.393,0.0005,0.0005,43.2,43.2,TRESCA
2035,2459081.498,0.00024,0.00024,20.74,20.74,TRESCA
2054,2459106.315,0.00033,0.00033,28.51,28.51,TRESCA
2060,2459114.151,0.000244,0.000244,21.08,21.08,2021AJ....162...18S
2189,2459282.65,0.00035,0.00035,30.24,30.24,TRESCA
2208,2459307.468,0.00098,0.00098,84.67,84.67,TRESCA
2260,2459375.388,0.00118,0.00118,101.95,101.95,TRESCA
2272,2459391.064,0.0004289,0.0004289,37.06,37.06,Ivshina and Winn 2022
2273,2459392.369,0.0004759,0.0004759,41.12,41.12,Ivshina and Winn 2022
2274,2459393.676,0.0004347,0.0004347,37.56,37.56,Ivshina and Winn 2022
2275,2459394.982,0.0004654,0.0004654,40.21,40.21,Ivshina and Winn 2022
2276,2459396.288,0.0004555,0.0004555,39.36,39.36,Ivshina and Winn 2022
2277,2459397.595,0.0005283,0.0005283,45.65,45.65,Ivshina and Winn 2022
2278,2459398.9,0.0004994,0.0004994,43.15,43.15,Ivshina and Winn 2022
2279,2459400.207,0.0004615,0.0004615,39.87,39.87,Ivshina and Winn 2022
2280,2459401.513,0.0004,0.0004,34.56,34.56,Ivshina and Winn 2022
2281,2459402.82,0.0004389,0.0004389,37.92,37.92,Ivshina and Winn 2022
2282,2459404.125,0.0004327,0.0004327,37.39,37.39,Ivshina and Winn 2022
2283,2459405.431,0.0004431,0.0004431,38.28,38.28,Ivshina and Winn 2022
2284,2459406.739,0.0004931,0.0004931,42.6,42.6,Ivshina and Winn 2022
2285,2459408.043,0.0005585,0.0005585,48.25,48.25,Ivshina and Winn 2022
2286,2459409.35,0.0004599,0.0004599,39.74,39.74,Ivshina and Winn 2022
2287,2459410.657,0.000421,0.000421,36.37,36.37,Ivshina and Winn 2022
2288,2459411.962,0.0004456,0.0004456,38.5,38.5,Ivshina and Winn 2022
2289,2459413.268,0.0004816,0.0004816,41.61,41.61,Ivshina and Winn 2022
2290,2459414.575,0.0004381,0.0004381,37.85,37.85,Ivshina and Winn 2022
2291,2459415.881,0.000471,0.000471,40.69,40.69,Ivshina and Winn 2022
2292,2459417.188,0.0004329,0.0004329,37.4,37.4,Ivshina and Winn 2022
2293,2459418.493,0.000391,0.000391,33.78,33.78,Ivshina and Winn 2022
2322,2459456.373,0.00035,0.00035,30.24,30.24,TRESCA
2567,2459776.39,0.00028,0.00028,24.19,24.19,TRESCA
2832,2460122.528,0.00037,0.00037,31.97,31.97,TRESCA
4814,2460473.892,0.0013,0.0013,,,Sozzetti
